,type,latitud,longitud
0,Starbucks,40.426066801136066,-3.6756167469058876
1,Starbucks,40.43296760669224,-3.6832201480865474
2,Starbucks,40.4335639178076,-3.6868293595360973
3,Starbucks,40.424974636524,-3.684107212216363
4,Starbucks,40.425760357264515,-3.691781759262085
5,Starbucks,40.4394314443529,-3.6826531171468173
6,Starbucks,40.420450975922165,-3.6796733064135796
7,Starbucks,40.42075183549848,-3.6993145297210788
8,Starbucks,40.418038185194774,-3.699371513099982
9,Starbucks,40.42014039388448,-3.702886033408268
10,Starbucks,40.41532327347708,-3.6949486687744146
11,Starbucks,40.44748872381242,-3.6930934929855574
12,Starbucks,40.423112989750564,-3.700798408458431
13,Starbucks,40.440273,-3.682125
14,Starbucks,40.419667845686355,-3.7061354223688325
15,Starbucks,40.433353,-3.703958
16,Starbucks,40.44677599194058,-3.6918291111629657
17,Starbucks,40.44772869759542,-3.6951754717412046
18,Starbucks,40.41719516711848,-3.706118548830636
19,Starbucks,40.40885214578761,-3.693236539287397
20,Starbucks,40.423319643246955,-3.710882844657412
21,Starbucks,40.417539,-3.702775
22,Starbucks,40.421751918201934,-3.7083782102926905
23,Starbucks,40.42906874005007,-3.7150786671568476
24,Starbucks,40.418054,-3.710009
25,Starbucks,40.41748942152583,-3.70466514037747
26,Starbucks Palace,40.414995,-3.695058
27,Starbucks,40.421095,-3.70256
28,Starbucks,40.418106483857194,-3.709606077515513
29,Starbucks,40.45957,-3.6943874
